text_data,predict_weight,predict_label,true_label
Chỉ cần bố mày qua được khoản thời gian này thôi thì địt mẹ mày Đời ạ mày tuổi lol ? ? ?,[0.19939741 0.00790758 0.6320437 ],2,1
Phạm Vương Linh nữa xuống Diêm Vương ổng đéo sai đầu mấy thằng trâu mặt ngựa or quản ngục giữ m . Vì ngục hơn ngục . LOL,[1.49756495e-03 1.04563114e-07 4.20714878e-06],0,1
Tuan Anh Thôi cc li do vl .,[0.07894216 0.00160415 0.20432992],2,1
Tệ vl =),[4.0071767e-02 2.2925454e-04 2.7463468e-05],0,1
đm true vl :) \,[0.9962476  0.9757119  0.12218016],0,1
cc . khổ vl,[0.35708645 0.4589441  0.3201342 ],1,0
Fan chel đây cũng ghét barca vl :),[0.09330913 0.09754284 0.0084272 ],1,0
Đm ! Kèo làm con cặc gì . Cỡ 4tr có cái lồn mà ultral đm . Đã ngu lại thích nguy hiểm đm . . Cứ vào game chơi combat là biết ngay . Đm cứ vào game xong núp thì đm đến 98 % đéo drop nữa là . . Chơi game là phải combat còn mà đéo chơi đc thì óc bò rồi đm ngu,[2.3025143e-05 1.7632205e-03 3.3810962e-04],1,2
Lol ad ngu như chó . Là thằng lol ad ngu như chó,[0.89136523 0.01257528 0.2023104 ],0,2
Phạm Quang Anh lag vl :v,[7.1879059e-01 4.0239681e-04 3.0335776e-05],0,1
"Hà Giang TIN MẤY CÁI ĐƯA LÊN NHẢM NHÍ , AI UỐNG HAY KHÔNG CHẲNG QUAN TRỌNG , HÃNG SỮA NÓ CŨNG KHÔNG MẤT MỘT XU , NÓ BÁN CHO NHỮNG NGƯỜI UỐNG THIỆT SỮA THIỆT VÀ NGƯỜI THIỆT , BỌN NGU NGỤC , TRUNG CẨU GIẢ MẠO PHÁ RỐI THÌ CỨ BÁN CỨ UỐNG NGU THÌ CHẾT . . .",[0.999602   0.09469303 0.0032515 ],0,2
Không đẹp trai không có tiền làm đéo gì có yêu thương <URL>,[0.0678526  0.00131061 0.00024084],0,1
Kiều Mây cặc . Đẹp vl,[0.98647934 0.0227533  0.00451013],0,1
Loan Bống đụ mé :v,[0.91668034 0.5327962  0.5780385 ],0,1
ngu quá thành quá ngu . ngu ngu ngu,[0.62037385 0.9321441  0.9628849 ],2,1
Môi dầy đẹp vl =),[9.9921763e-01 4.0465435e-03 9.0968620e-05],0,1
vcl manacanh :),[0.8443839  0.16529097 0.08031359],0,1
Đụ xanh chơi kì vl :),[0.5461972  0.06934848 0.00167497],0,1
"Good job ! Lê Trung Hiếu <URL> Huynh . KIẾP TRỘM CHÓ . Làm nháy công không được bao nhiêu nên anh em rủ nhau đi trộm chó :( . Nhưng đen quá . : "" "" Không sợ kẻ địch mạnh chỉ sợ đồng đội ngu như bò . "" "" . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - . Ý tưởng : Đạt Thành . Mod : Thành Đạt - Hải Anh : Trộm Chó . Nguyễn Xuân Trung : Anh chủ nhà Ế vợ . Chó con : Chó . Foto : Hưng Katj - Huynh Anh",[0.00482505 0.03805451 0.01521435],1,0
Bố mày bõ ghét vl,[0.13658145 0.39728862 0.06944779],1,0
minh deo co ai cry vl song loi vl,[0.96904    0.0123715  0.00708615],0,2
Tên đạt dạo này nổi vl,[0.88555616 0.19277288 0.13655576],0,1
Đ . m giống người con xa xứ G4 vl,[0.75898385 0.04548781 0.00448626],0,1
Bán thêm xì ke hoặc làm đỉ đực ban đêm nha,[9.6857005e-01 4.0302653e-05 7.3252821e-05],0,1
À k do m ngu ẩu vl,[0.23746745 0.06865306 0.05219926],0,1
Trần Sang cl nè sang,[9.128926e-02 5.025684e-06 5.191841e-06],0,2
Ngứa cu vl 🙃 🙃 🙃,[0.8727877  0.28405592 0.13775681],0,1
sốt cmnr . mệt vkl Nguyễn Mạnh Jinx is feeling sick .,[0.9999734  0.6997415  0.32175103],0,1
quả đầu khấc chất vl !,[0.9661469  0.28480932 0.01814212],0,1
Tự hào châu á . . nghe ngứa dái vl,[2.1931913e-01 7.6532000e-05 4.3141976e-02],0,2
Nó chảnh vl :),[0.94536465 0.10103874 0.00602643],0,1
Duy Thuận :) cảm thấy quê vl,[0.9998441  0.00278301 0.00308582],0,1
Đ nói nhiều cơ mà c trâu này béo vl,[0.6501075  0.00195061 0.00119309],0,1
Vũ Văn Tiến đéo phải là ngu ms hỏi mà hỏi viết bài ngu,[0.00193669 0.06247011 0.15447013],2,1
Phêrô Lê Phi Hùng ngoại giao rất quan trọng dell pai như những thằng dân ngu nc,[0.29017276 0.00175565 0.73736954],2,1
"Ex trộm chó ae nào ko trộm bán ex đi Bùi Toàn <URL> Huynh . KIẾP TRỘM CHÓ . Làm nháy công không được bao nhiêu nên anh em rủ nhau đi trộm chó :( . Nhưng đen quá . : "" "" Không sợ kẻ địch mạnh chỉ sợ đồng đội ngu như bò . "" "" . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - . Ý tưởng : Đạt Thành . Mod : Thành Đạt - Hải Anh : Trộm Chó . Nguyễn Xuân Trung : Anh chủ nhà Ế vợ . Chó con : Chó . Foto : Hưng Katj - Huynh Anh",[0.99952555 0.43223995 0.6257494 ],0,2
Hùng Vương đuọc nha . vô đi bạn,[0.41950557 0.6294073  0.13754417],1,0
Tay ad bẩn vl,[0.04818814 0.52976567 0.96712387],2,0
Pé Nhi zậy là m xì hơi rồi đổ thừa hả m ? Zu khống hả m,[9.5946115e-01 1.8919150e-07 8.5225764e-07],0,1
"Góc tìm chó : béc nhỏ như trong hình của bà thuận . Ai thấy nó đi lạc ở đâu đuổi về cho bà tí , công bà nuôi bữa giờ bắt đi tội cả chó cả thương bà . <URL>",[0.3114223  0.03532254 0.7652843 ],2,0
Bé Em vl lên dc fan cứng sẽ nhác cmt kkk,[0.99930596 0.07714954 0.07819842],0,1
Hiển nhiên vl :),[0.4680165  0.09504025 0.03405052],0,1
Chịch ỉa chịch ăn :) kinh khủng vl,[0.18083197 0.26447925 0.3298164 ],2,1
Lịt mẹ mất mặt vl,[0.6975594  0.15806647 0.13935263],0,1
đúng là vl tao đá luôn vào mồm thằng đó ngu ko biết đối nhan xử thế ngu nhu chó,[0.04036675 0.00400722 0.02239092],0,2
Đhs mk kh có cú vl,[0.99971205 0.5370836  0.00247209],0,1
Phân tích dài vl xúc tích mỗi tội ngu vl,[0.9981029  0.22498392 0.30594972],0,2
Chiêu 1 xấu vl,[0.38467267 0.00983602 0.00300037],0,1
"Vu Nguyen :) còn nhiều group lắm a , tại con acc chạy group bị khóa mõm mấy ngày nên thôi dùng fb thật share tạm",[0.03125894 0.00358121 0.00065996],0,2
Trường này quá vô tâm . Vô trách nhiệm sao ko sửa chữa lại để như vậy . ? Lẽ ra rơi đúng vào ông hiệu trưởng chứ sao lại rơi vô đứa trẻ . Nam mô a di đà phật,[0.9794279  0.10084211 0.22995718],0,2
"Ăn nói như thằng điên chứ k phải con người bt , nguyên đồng lương chính của ông có giầu đc k hả mà chê người nghèo .",[0.34274122 0.01025243 0.00493013],0,2
Dmm ngu vl :),[0.7155292  0.08676274 0.06528138],0,1
"Le Tung Le óc chó nó đã không hút máu dân , chửi nó óc chó nó lại đổ lỗi tại dân bầu óc chó làm lãnh đạo đấy . . . ha ha chó má nhưng không phải óc chó",[0.85675544 0.70931304 0.7150212 ],0,2
:) m ngu vl,[0.64230967 0.15673555 0.02001977],0,2
Đụ ad sẽ thành fan cứng,[0.32972324 0.0675595  0.04395752],0,1
Đmn vậy giá tiền tệ vn có bằng ngta cc đâu mấy thằng óc cặc khôn vkl,[8.4107931e-05 9.3775545e-04 6.2895450e-04],1,2
Triệu . T Hồng đcm giống đậu phụ vl :),[8.9757264e-01 1.3052770e-01 4.9412093e-04],0,1
Thái Dương chửi nhau xong tao còn đẻ dc 1 thằng khôn hơn mày đấy,[0.9306403  0.01526546 0.0176735 ],0,2
"Nguyên Trần èooo , nguyên gu lạ vl èooo",[0.99998593 0.7936097  0.51880205],0,1
Bố nó mà đấm trượt phát nào thì tao đéo tin,[0.02385879 0.6710545  0.30063853],1,2
Chơi chó vl Vuu Bich Bảo Duyên,[0.01541977 0.00774111 0.0018367 ],0,1
Nguyễn Quy huyết tương là gì biết k bạn ? Ngu vc,[7.7804524e-01 1.9122243e-04 4.3287370e-03],0,2
Mất mặt vl :),[0.9996791  0.9840867  0.76605934],0,1
Tr đumá ghê gớm vl,[2.0883295e-01 2.2175287e-07 7.9458490e-10],0,1
T nói thật đéo sợ choai choai sợ mấy con chó chỗ tao thôi,[2.2501906e-04 9.6860236e-01 9.7755152e-01],2,1
Muốn làm gì cũng bàn tới bàn lui . . . R đm dell ai tán thành . T cũng phải sống cho t mà . Mệt mỏi lắm rồi nha Hồng Huệ is feeling drained .,[0.00017208 0.00036127 0.09282949],2,1
Kỳ Nguyễn Cao tin người vl,[0.98561007 0.7319721  0.84085876],0,1
Buồn lol tao đéo buồn nhé,[0.00069006 0.02273577 0.02701531],2,1
Ngu hơn bò mà ra vẻ khôn . . . nghèo không phấn đấu làm giàu mà ra vẻ ta đây giàu có . . . . đi nhẹ nhàng và đưa tiền nuôi gái còn về nhà thì cắn xé vợ con . . . ngu xuẩn,[0.57465345 0.00914566 0.11646228],0,2
Ngọc Huyền đ bh thấy mang đặc sản lên,[0.8796736  0.01513418 0.00885169],0,1
Ui rồi nó chỉ chửi sướng mồm nó kon đâu kệ,[0.12136392 0.10583421 0.08035247],0,1
Hồng Ngọc dm hãng này chắc đau đầu vl,[0.9297665  0.01537058 0.38139334],0,1
Ngu ngốc vl đã xấu tính cọc vl,[0.91919285 0.02934667 0.10314265],0,1
Sơn Lê Văn mẹ . . . ngon thì cần chó gì làm dưa làm giá . . . chúng nó đang cụi đấy . . . Bỏ chạy 2 lần rồi mà . . . ! Thật chả ngu nào giống ngu nào .,[9.4878376e-01 7.7881428e-05 2.4951168e-04],0,2
Mấy cái báo nhảm giờ t lấy ảnh ở chỗ khác có cá mập song t cx đăng thế bay cx share r chửi họ ak ngu vcl,[0.9753609  0.04629949 0.06318931],0,1
Vĩ Khang đệck . . Hay vl zị . . =),[0.14176235 0.06638358 0.01931547],0,1
Jung Ngọc nhạt vl :),[0.59478414 0.12266113 0.13696977],0,1
Gọi Tên Nhau mày mới là thằng ( con ) ngu hơn con bò,[0.05865106 0.0214259  0.02940137],0,2
Nguyễn Thùy Dung ôi đme giống iem vl =),[0.07248201 0.030498   0.00019041],0,1
"VỤ PHỐT THẾ KỶ Phạm Ngọc Hưng shared a post . <URL> Mạnh . Có một loại người không biết nhục là gì có độc 30k thôi lợ từ năm ngoái đến giờ , mà đòi nó nó còn kiểu Thái độ không chả từ sau Chánh mặt tao gia tao bố thí cho mày dữ đấy mà làm giàu",[9.9971598e-01 8.0987484e-05 1.7639592e-03],0,2
Đmm ct phiên bản cục súc vl,[0.9886995  0.5758693  0.17622156],0,1
Chuyên gia Lĩnh phán ! Quên cmnđi ! ! ! Cháu gia cát dự đây rồi ! ! !,[0.9979195  0.03458061 0.33979398],0,1
Đức Mạnh ' x nghèo cl mà nghèo con nhà đại gia lúc lol nào cx kêu nghèo,[7.3651665e-01 1.7540339e-04 1.4012559e-04],0,2
Một câu chuyện rất cảm động mặc dầu vô cùng xaolon,[0.95851237 0.0911428  0.77133036],0,1
Rỗi lại vỡ mồm con chó . Ngu ngốc,[0.52025414 0.13930674 0.07699523],0,1
Cmt nhiều vl ra,[0.8227644  0.04155518 0.00185926],0,1
Đéo hiểu thích ông này quảng cáo vl ra . hài vl,[0.01510186 0.9896633  0.8573925 ],1,0
"Đụ má thấp vl 9 , 25 à 😔",[2.9380690e-05 4.0410563e-02 7.8011915e-04],1,0
Sơn Trần game khó vl,[0.82030684 0.15502656 0.05636   ],0,1
Nguyễn Thọ Ars thế cái mặt chó m k học lcs à bêu trường à thằng ngu 😴,[0.13897058 0.21240899 0.6426133 ],2,1
Thu Hiền <URL> Run Your Life . nhìn mặt tội vl = ) ) ),[0.704694   0.0014385  0.00145267],0,1
lừa đc mình xong chặn cmnl . bố theo chúng mày . thông báo cho mn biết hết lừa luôn <URL> Đã có 1938193 khách hàng . Khách đã tin tưởng sử dụng SIM,[4.5236096e-02 7.9443851e-07 1.5158507e-05],0,1
Nhớ khúc nay mai thi rồi tối vẫn xách đít di choi kkk,[0.7150532  0.6501583  0.17487574],0,1
nên biêt thân biết phận xíu đi đồ chossss,[9.5700037e-01 2.8416596e-05 1.2331225e-04],0,1
"Huỳnh Đạt a không hề nha , chỉ cò bi đuôi bỏ nhà đi , ăn cắp cái đầu đĩa đem bán , viết thư xin lổi ông già nó ak kkk",[0.9999994  0.5040774  0.03697906],0,2
Lạ lùng vcl :),[0.07056976 0.00485015 0.00210251],0,1
Ocschos . . . : V,[0.98148614 0.83255625 0.49861446],0,1
"Tại sao chế độ vẫn còn để bọn khốn nạn này , chế độ độc tài Tổng Bóng <URL> H - Tuấn . Bộ Y Tế chuẩn bị ban hành quy định ! Thu phí người thăm nuôi bệnh nhân , đây là là kế hoạch chân ( thứ 3 ) của bà ta là thu phí có đúng không vậy ace . . ?",[0.99001324 0.93643874 0.43973276],0,2
Chỉ xem chùa cũng lên đc fan cửng . Easy vl .,[0.14748679 0.5216716  0.3957089 ],1,0
Xấu người xấu ca nết . Nhìn là chỉ muốn cắn người khác . Sư chó,[0.4394432  0.07096868 0.12159016],0,2
Trần Huy Luận :) đm mệt vl,[0.9237174  0.22377308 0.04655363],0,1
Thế không tha thì lại bảo xấu như chó,[0.44495177 0.01673106 0.07627301],0,1
Cái đm ám ảnh vl,[0.56113833 0.05059381 0.04038628],0,1
"Ha Phat iPhone , Vertu , tiền làm mấy cọc trong túi , xe con xịn , ra ngoài uống bia ăn thịt chuyện bt , nhiều thầy chơi trội hơn thử mùi đàn bà ntn",[0.31792665 0.00108291 0.11299313],0,1
Đm thô nhưng thật vl,[0.55262566 0.9494732  0.991295  ],2,1
