train_abhvpptixv|tao lấy trứng dái đập hả m con lol :)
train_tlnqarrwwa|Da con xin quy lai may me may me an gi de con cung may me nha . . con nho la con dau co choc gi may me dau ma sao may me vu quan cho con hoai giay chuyen khong noi co la sao con lam gi ma co zk con roi ma ly than roi ma may me cung noi dc hay giay Khắc Phúc ífeeling crazy with Lắc Kêu and Huỳnh Minh Trí .
train_dushhqcydj|Tú Nguyễn tởm vlin . :) sao cno k làm sạch đít trc khi thông nhi :)
train_lgbqlgnaol|Nguyễn Châu Hùng <URL> Biết rõ vẫn khó đi - DSK [ # VietLyric ] . Beat by Thien : <URL> Tao ghét bọn họ gian dối , uhhh Mấy con chó phản bội chủ , bảo tao chết vì . . .
train_zzynqrxkyy|Do súc sinh Sao sét kg danh cho may chết trước me may di
train_ibinnzjqya|Phan Duy Hiển có t hay ko ko quan trong quan trọng là t cố tình lm nó giận để lấy cớ kiếm ghẹ . s m ngu thế
train_ctqcclgfsm|Duylinh Nguyen t chỉ biết dùng 2 từ óc chó để diễn tã m thôi thằng ngu à :(
train_qrclbagwmh|Cho cả lò nhà mày đi bán đi đm thằng óc chó
train_uhknwxextr|T là tao ghét mấy đứa bài đặt lên mạng nói chuyện trổng trổng với nhau lắm nghe . . . . muốn j thì kéo nhau vô lùm mà tâm sự đi nghe . . . . . T chưởi mang nhục àh . . . Tuyền Nguyễn íwith Huỳnh Nhân .
train_xcqwgmsxrn|:) m ngu vl
train_lzinxglnkm|Phai tao la hlv tao cho toan cau thu vo van sang đa vi no chi la giao huu thoi ma the thai lan moi cay
train_ldlipiirls|Đann Chii dăm ba CRUSH ngu vl =)
train_wzbyvrmxsq|Chu Du trẻ trâu vl
train_tdubjlizbt|Có một không hai đi lanh tiền quên mật ma roi còn k chịu . Đi lãnh tiền cũng quên lấy tiền lên . Đầu với óc chán v không biết co bị gi không ngu chưa từng thấy mà . Ngu không chừa ai ngu luôn <URL>
train_bsvoureoyt|Lòn xuống dái nói chuyện với tau nè Đực . Xin lỗi thứ này phải gọi là thằng . Mày giàu hơn ai . XHCN mày tiến tới là phân chia giàu nghèo vậy hả .
train_krxhnjpwum|Đức Quảng ; ) ) ) tao phải là người tag mày chứ con chó
train_dcbyclzqoh|Sống trên đời , đừng có quá tự cao tự đại , vì cuộc sống này đéo có ai ngại ai đâu . . bạn ơi <URL>
train_osvcbpjput|Phát Đào binh định ngu vl
train_vyclqrdyrp|Thủ tướng ko lướt web nên ko biết dân mạng nó chửi ông như chó
train_ofmbviikcu|Thanh Thanh m ngu vl
train_zligrtkwwo|có cl . nó lấy ck tỉ phú thì m biết đất cạnh nhà nó như thế nào rồi chứ . ngu lol
train_jaxipbidbk|Thằng này ngu vl
train_jykluqfzzo|Người thì thừa người thì thiếu mà sao may đứa con gái đấy sao mà ngu thế không biết
train_rpexcwxqtf|Xóa stt rồi à thằng ad ngu lol
train_dnraktzstm|Nguyễn Hà ngu còn phát biểu . Súng bắn bùi nhùi được bắn vào bánh xe và xe sẽ chạy chậm dần cho tới dừng hẳn . Giảm nguy cơ gây tai nạn . Ngu như chó
train_qypxbjckvp|Dit me con my lam bo m deo ngu dc
train_wroqyotlxd|Tao tiếp tục bóc mẽ cái loại ngu của chúng mày , tuần sau là lấy đất tổ k lamg khổ dân ? Ngu học mà đòi viết chưz
train_xefrkzgkvl|Sống trên đời , đừng có quá tự cao tự đại , vì cuộc sống này đéo có ai ngại ai đâu . . bạn ơi <URL>
train_dxotwhhiub|Tôi nói thật . Bọn lái xe . . xe to hay nhỏ . Ý thức như cặc . Hôm trước tôi cũng bị rồi . May là đường rộng . Nó cứ thích là nó mở thôi . Khổ người dân vô tình gặp lạn .
train_kysqoncffg|Kiêu như chó , phét như chó , lười như chó , sĩ như chó . . . . gì cũng chó :)
train_fnzkcmulub|Thứ ngu hãm lờ . Thiên hạ chửi mày ngu củng đúng .
train_yjkwzgyvgm|Phuong Ly Pham ngoan cc . Đanh đá hàm hồ vl
train_uumgjskrra|Dương Kiều Hoàng cái này là éo lo fam quái mà cứ thik đi cb bị đập sml rồi quay qa chửi rừng ngu nè :)
train_neqpxpynpd|Ngày Em Đi đm óc chó biết cc j cút
train_ofpweumlgr|Em nói cho anh Kim nghe ở trỏng cứ lo hoàn thành tốt nv đi đừng có hơn thua với mấy con đĩ này làm gì mấy con đĩ này là mấy con đĩ nghèo khổ khi nào anh dìa Việt Nam đi em cho anh một miếng đất em có 7 miếng lận nè . . 1 miếng nè , 2 miếng nè , 3 miếng nè , 4 miếng nè , 5 miếng nè , 6 miếng nè , 7 miếng nè . . .
train_gzyibbpyrc|Ụ á cai’ con ngua loz bua nao co’ vs tao nua gio . . . mai coi chừng cai’ mồm mai đo con . Quynh Nhi íwith Thái Hiệp and Kim Xuyến Đoàn .
train_tctkcosdme|Tho Nguyen m bớt sủa và cho con bú đi con mặt lol . đụ má đả xấu có con còn sủa ngu thấy mẹ . Thứ m gặp thằng ngáo đá chém cm m đéo ai cứu
train_suamyywosj|Mé ai bảo gáy sớm đm ngu vl
train_abrpglruuc|Đụ má được quyền đánh ? Lũ óc chó nó có đua bắt về tống tù nó hay tịch thu xe như đà nẳng lấy xe đâu nó đua . Mấy thằng mình người đầu chó đụ má csgt nó đạp thằng cha con đĩ mẹ mày thấy sao ? Ngu chó như thằng cứa ad
train_mfblmplrwo|Sủa như chó . Cắn như chó . Ỉa thối như chó . Bẩn như chó
train_wubwluhtxl|À nó giống vụ ngày xưa con mặt lồn Mờ Naive đăng kí bản quyền bài hát mà do người khác sáng tác nhiều năm trước . Bài hát thuộc quyền sở hữu của người sáng tác và trình diễn nó đầu tiên chứ không phải thuộc đứa đki đầu tiên :) . Địt mẹ bọn mặt lồn ăn bẩn trên thương hiệu của anh tao :( <URL>
train_rflkjkllsb|Hiếu Bôn ko có nguồn cầu sao có nguồn cung ? ? ? Khi nc động não suy nghĩ tí đi ai bắt m chơi chắc n đổ vào mồm m ép m dùng à
train_jawvvsuegb|Bọn nhà báo Vn là 1 lũ ăn tục nói phét biết cái lol j mà sủa như đúng rồi . Não chó là có thật . Làm 10 năm đéo bằng cn làm 4 năm tăng ca . Ngu thì bớt sủa đi lũ óc chó
train_hijbuqehwz|cạnh nhà mình có ông vợ đéo cho hút thuốc xong học ảo thuật để đc hút . . . đấy là ông hàng xóm nhà mk còn ông lày thì mình đéo biết
train_edtcuolnle|Đức Mạnh ' x nghèo cl mà nghèo con nhà đại gia lúc lol nào cx kêu nghèo
train_znqzhhjwmf|Cười vl bọn losẻ :)
train_mhbcahbnww|Bán 3000 tờ đó là nó nói nhà phát hành vé số bân ra . chứ người đi bán vé số bán 100 tờ còn đéo nổi . kêu cả dòng họ nhà thằng này đi bán coi nổi không mà phát biểu ngu hơn bò
train_dgskatejsp|Bọn Trung Quốc ngu vl
train_clkrxzdgqp|Ruộng bọn bây thu hồi làm cái này xây cái nọ . Giờ lấy chỗ mô mà phơi lúa cho bn bây táp . Phơi có đc dăm ba ngày bọn mày viết này viết nọ , ý thức lọ chai . . . làm ảnh hưởng mị quan đô thị . Xin lỗi ngoài kia cn bao chuyện đó ko lôi ra mà viết mà báo . Người nông dân khổ rồi , bọn mày để yên đi có đc ko ? . Tổ cha mấy cái thằng viết báo câu viu sàm lol
train_etzescbabu|Dương Quốc Minh tao rất tiếc khi tao éo thể nói chuyện vs con súc vật như mày , cút nhé
train_hzvjjemhgu|Ngu hơn bò mà ra vẻ khôn . . . nghèo không phấn đấu làm giàu mà ra vẻ ta đây giàu có . . . . đi nhẹ nhàng và đưa tiền nuôi gái còn về nhà thì cắn xé vợ con . . . ngu xuẩn
train_oirnyjgbtq|Thua cái nhìn mặt thằng nào thằng Ý ngu vc
train_qscggvtwdz|Ai có đi grap thì né thằng này ra , bắt grap mà ổng nói gọi không đc trong khi đang cầm đt đặt grap gọi lại thì chữi đm con l * * r nói t đang chữi m đó , làm dịch vụ mà nói chuyện v đó mình đặt dùm khách thôi chứ không phải mình đi nữa mà còn v AI ĐI THÌ NÉ RA HỘ CÁI KO BỊ CHỮI OAN . THÂN GỞI <URL>
train_tsjspuuguw|Ở ở cái dịt chị nhà m . việc của nhà m mà m hỏi thằng ml <URL>
train_flcqnjnujy|Nguyễn Thư óc con chó ngu lol
train_zynagauzuc|Ko biết loại người gì nữa bố mẹ mà mày ra tay đc chắc người ngoài mày sẵn sàng giết nếu ko đạt mục đích hả
train_scwhurbdoq|Lol ad ngu như chó . Là thằng lol ad ngu như chó
train_vnwbuurkus|Nguyen Tám với những thằng như mày chỉ biết nói như vậy , tao sẽ xem là cỏ rác , tao sẽ hỏi cái bọn Cali rằng “ Doéthíchattering animal speak fỏyou ? ” , tao mong mày hiểu tiếng Anh con chó
train_xuwuevhogd|Già chết mẹ đi cho rồi phát biểu lung tung cho ngt chửi ngu nhu chó
train_jmkjiocsxy|Bọn chó bớt đớp đi thì thừa tiền tử hình bằng tên lửa ?
train_bvrtwzopcc|Đấy là một điều ngu ngốc , ko phải là hành động hay ho gì mà lan toả , nạn bắt cóc thì nhiều , giao thông thì rất nguy hiểm , trẻ em thì chưa đủ hiểu biết , kiến thức để có thể đi một đoạn đường xa vậy . Hành động này rất là nguy hiểm , cứ lan toả rồi ca ngợi , đến khi gặp chuyện rồi thấy cảnh mấy thằng ngu chia sẻ ạh . Dm
train_eyucbicpey|Bài báo ni viết ngu rứa thể mạnh . Không có người mân nông thì lấy cứt cho mi ăn à . xa xỉ nhà nông ngu rứa
train_hikuwgaubj|Tao chúa gét cái lũ có mấy đồng nói chiện tanh tanh , nói và lam la 2 chiện khác nhau nhé . . mây aban sl
train_bkogcjlcxk|Lưu Tuấn Đạt <URL> I H O P E . Tao im lặng là vì kh muốn giải thích chứ đéo phải tao im lặng để mày nói xấu tao =)
train_bofjgfrjaa|Thành Đạt don ' t you knơpump it up thằng ngu lol
train_pfyixukapa|Vương Mạnh bố mày thích thế , mày quản tao à 😪
train_iqjgyrbaqe|Ôi điên mẹ nó rồi nghĩ đến cái cảnh tượng ấy là tao đéo kiềm chế được chỉ muốn vả cho mày vài cái cho mày bớt ngu đi . Địt mẹ mày đi làm thì phải chăm chỉ chứ , mày có lười thì mày cũng đừng để họ bắt được mày khi giả thẻ tao chứ , đã ngu còn hãm bà mày duyên nợ gì với mày cơ chứ khôn hồn thì mày nói chuyện xin lỗi tao
train_dyeuithqnr|Vũ Quang Thọ con mẹ thằng câm miệng chó mày lại đi thằng cho tao chửi thằng hồ chó minh luôn đó chứ chửi cha mắng mẹ mày ko xứng đáng để tao chửi đâu
train_xlfzydoigl|Tu chức ve chan heo di giác do cho vo di ! , ,
train_wuempkjtxz|Nguyễn Hoàng Trọng đỉ đù đụ éo kéo rank lol
train_lrsdssaplu|Anh Tuan Tran 10 thằng dân den không suy nghĩ được 1 thằng làm quan ~ mẹ thằng ngu ~ Thí dụ tao thử cho mày ngồi lên mục giảng mày có biết phải làm gì không ? Nói ngu hơn chó
train_ttomkgiwhx|Đường zô muốn lao xuống vực , lúc về cứ ngĩ phải đẩy lên dốc , zô đếch có con mẹ j ưng , bán qán chảnh như chó bặc dê nhà ngèo , ôi clmn
train_hovevstzck|Crush đéo thích mày . Cả thế giới đều biết . Mày biết . Mà vẫn cố crush . Mày ngu hơn chó .
train_mnkyjqhqbj|Còn dùng nick clone chứ có dám dùng nick thật đéo đâu , dòng thứ đĩ ngu
train_eiwinlbvke|Vũ Khanh thk ml này ẳng vl ra
train_vulydwakzd|Đất nước 90 triệu dân - kg có người tài sao phải dọa trung quốc vào , đúng là lũ ngu lãnh đạo - làm đã ngu mà nói còn ngu hơn
train_yacsojrhzv|Diễn nhạt vl 😒
train_bbjhwbkqxs|thì 3 thằng bây ngu như con chó
train_iwofvhwuvv|Xin phép xoá cmt bệnh hoạn vl
train_vdxosaxjdx|Minh Tuấn :) mấy con bóng nch dui vl
train_ouvlnqxrth|Mày nên đi bú cu chứ đừng bú fame nữa . Lỗi vl :)
train_bcaawdwulg|Nguyễn Duy đéo đuổi tao cũng đi . sợ vl
train_pecunwlrau|Mày nên im mồm thi hơn nói ra chả ai đồng tình mà còn chửi cho ngu lắm mày oi
train_zprosueiiq|Nói nó óc chó tội con chó
train_riyrnqqyam|SakủaTsubasa nó thả vào đầu lũ bắc cầy chúng mày làm sao tao ăn được . Ko lẽ tao ăn óc chó
train_frggwfxuaz|Như Nguyễn chướg mắt vl
train_vwkazszuaj|Nhìn cái mặt này cũng khôn lắm thằng ngu ạ
train_pxkkgcpjxt|Ngọc Lynh đã ngu còn to mồm cho ng ta biết mình ngu
train_zzrdkjnytx|Nó bị gì mà xin lỗi hả thằng ngu
train_oybmzejrlt|Duyên Phan Nói chuyện thích đĩ mẹ này nọ ghê ta ơi chắc mẹ mày làm đĩ hay gì mà bị hoang tưởng vậy con chó
train_umdjbmnsoa|Tay m đen vl
train_wqzwsdnown|Quang Nguyen mày ngu thật hay giả vờ vậy đầu heo óc chó . Phát ngôn tiếng việt mà như sủa tiếng chó vậy . Ai cũng chửi mày đấy thằng ngu ah
train_ladylpyxfh|Mâu thuẫn với bố đi giết con thằng này có vấn đề về thần kinh rồi . Cháu bé học lớp 5 thì biết cái j khổ thân
train_lqbofrmxjg|Cảm thấy ko sống đc nữa thì dẹp mẹ luôn đi 😑 😑 Nguyễn Thị Kim Loan ífeeling tired .
train_lfhkjnmybe|Đụ mẹ con lồn share hoài . Thằng ad ngu như chó
train_jnrjcxscin|Quoc Anh Phung th lz bỏ bạn :) ôn chắc vô mà th lz :)
train_wsvphsdxld|Nguyễn Ngọc Hãnh nc vs mày hãm vl
train_azmjniytdc|báo nói phet . gà to vậy 1 lần chỉ lấy 20 con là căng . 11 lằn chỉ lấy 220con . 1400 ông nội nhà mày củng ko vác đuọc . tổ cha thằng nhà báo nói phét
train_haabzmgblw|Le Viet Nam Con mẹ mày cũng theo trai mà :) đéo giờ cũng đéo có mày đâu thằng concard :)
train_jxqloxubib|Cả cái xã hội n sẽ chửi súc vật Thảo Bi shared a post . <URL> Lã Hải Anh . Đéo có gì là mãi mãi . Đời này làm đéo có tình yêu vĩnh cửu . 1 lần là nhỡ tay nóng giận . 2 lần là thói quen . 3 lần trở lên nó thuộc về bản chất . Tôi sợ con người anh . Vẻ ngoài đạo mạo nho nhã ấy . Nhưng khi ở nhà anh là 1 con thú độc ác tàn nhẫn không chút tình người . Những lời anh buông ra . Những trận đòn của anh . Có chết tôi cũng ko bao h quên . Đàn ông kém cỏi ko đáng trách . Nhưng đã bất tài lại còn vũ phu bội bạc thì anh không bh xứng đáng là 1 thằng đàn ông
train_uvthfyraxi|Ôi đcm đéo thể tin đc 🤣 🤣 🤣 bọn nó nguy hiểm vl
train_jphznbcjgl|Nghèo nhân cách , do bo di
train_uqyqdyhnvz|Đá thắng thì bảo hay . :) Thua thì chửi . Dmm . Đàn bà
train_ysjogdbmpb|Ấy đìu . . . ad . tâm thần cmn rồi
train_kdpdhfkkqd|Phan Anh Phước điên clmm , cảm xúc thế bảo điên à thag ngu lol
train_rvnupyqpec|Alicia Ng quý loz nào bằng được kim cương
train_yceiwbjmpo|Phan Tim Senđm ck tương lai nha
train_zqpvrgvsnh|Đập chết cụ thằng chủ đi ngu hơn con chó
train_vblkehbapa|Nguyễn Thanh Nhàn mày có thấy đoạn nào tao nói tao tập k . Ngứa mồm nói à
train_sudzwdsile|A thắng . Ngu vl
train_kuzjvzered|Trần Toản đm truyền cáingu cho bố h ngu vl
train_gvznbmsrmn|Mới có ảnh thôi làm lol có video toàn bọn lừa đảo ngu lol
train_iywmnxjveh|Quyết Cương : Địt mẹ thả link hay bố cho mày bay luôn fb :)
train_ygerbegffj|Minh Chí m nghiệp ra dayz ngân hà cmnr
train_wateitgucx|Lại tha hồ vơ vét . . . . nhét đầy túi . . . . ôi cộng sản . . .
train_iagphszwvk|Lan Anh Nguyễn với dòng cap kia thì hắc chứ tẩy nổi gì , bạn có khóc không bạn có đau lòng không ? Thử hỏi nếu chơi trò tẩy lại kèm hai tấm ảnh tự chụp với dòng cap ngu người như thế à ? Hai bức ảnh đó chụp cô Băng để báo tình hình sức khoẻ cho người nhà và bạn bè bị leak ra ngoài . Có làm màu lựa tấm ảnh nào nó đầy tính chiêm nghiệm và khó đoán hơn chứ , cái trò gì mà ngu người vậy .
train_unwwzjrmqz|Nước mưa thì sao mà sạch ông nội bít cống nó ngập thành phố hả thằng chó
train_hdkremiguc|Kể từ ngày hôm đó đã đéo còn trong bộ nhớ của tao rồi , đm con đàn bà lăng loàn . . . . .
train_plgtgwphlq|Ai có đức , mày nói mày đấy à , mày mà có đức hả ?
train_qxaupojaut|Nhớ nhung tình cũ này 😌 😌 nó hãm vl
train_kxryoqgfll|Nguyễn Quy huyết tương là gì biết k bạn ? Ngu vc
train_oewmtfyjoe|Còn thu nhập của VN thì sao hả thằng chó chết ?
train_hesyhsnmjr|Lại một con cho điên chưa tiêm phòng mùa hè . . . . mày có biết các nước G7 ko tham nhũng . . . thu nhập cá nhân cao bằng mấy lần người việt ko . . . người ta dùng nhiều giá thành lại giảm . . . Có như lũ chó mày càng dùng nhiều càng đắt ko . . . câm cái mõm chó mày lại
train_djoymakbqg|thằng chồng nhìn tướng hèn vl
train_cuctrsyugz|dđ1ung thể loại óc chó xin lỗn loài chó vì chó c2n bik giữ nhà
train_pqipstcmnn|Đm ngu thế mày chim cút
train_annvtkahcg|Tới tận bây giờ , bọn man đần vẫn ảo tưởng về suất dự cham pơ lít :3
train_ccdneyxgdl|Ăn cức phát biểu ngu lol .
train_gsnbfhqkis|Nguyễn Cao Trọng nói này cái gì 3 / / / . mấy đứa xàm . có trên báo ngta nói . lũ ngu dân .
train_jfdlfkxiww|Mấy con mồm lol . . . <URL>
train_rpvpizhhvd|Nguyễn Đức Long m ngu vc
train_dsvxsqjice|Tuan Anh ủa nói như m ba cái loại chửi CR7 tao thấy đầy trên mạng , tụi nó bằng CR7 hả ? Fan cứng của tao là dựa vào việc dám nói lên sự thật về ả đàn bà Messi và sự cuồng vọng của mấy tên nô lệphò nó , chớ ko dựa vào việc tao có đàn bà bằng nó hay ko . Còn m đàn bà như nó thì cũng éo đủ tư cách để tao chửi .
train_izflmqycjw|Lắm thằng ngu ăn bait vl
train_mmnayjtfzd|Đó . Thấy chưa bnay đừng ai chê tui béo nha tui buồn lắm â <URL>
train_vbxeqozpmd|Thế mấy chú tưởng VN dễ ăn lắm akkk , vê Han phau thuat lam gai het di
train_lcwrprmimw|Để tao coi thang lon đó thuong may co nào . Đau của may chua oc cho hay gì ma ngu dan ngu đon vay
train_udlizzxhaq|Đm . Nó giả vờ đấy thằng ngu ak
train_cydhbkqhrs|Dm ! Có a mới không ổn . Mày rình mày chịch riết ổn cái lol .
train_hzozizzams|Đô Vật HD mày sủa j thế có ngon về chửi ba má mày kìa tưởng ad muốn chửi ai thì chửi ak con chó
train_izjqzennaz|Con điên , con óc chó , con chó , con lợn , con bò . . . : >
train_koosiyjwbc|Đăng Nguyễn công ơn cl . . . bế quan tỏa cảng đéo chịu cải cách rồi để bị xâm lược . . . mấy thằng ngu lol :)
train_zizmbxjzrq|đã dk ăn đâu mà biết ngon k nhìn đồ ăn cũng vậy nhìn bắt mắt đấy nhưng ăn như cặc bạn ak haha <URL>
train_qrytsqsylt|Dm mẹ mấy thằng cướp của bọn quan tham đéo cướp , dcm lũ chó ngu
train_wpgbmrumti|Gặp tao tao vả vô cái mỏ . lol tại chổ . . . Đm làm mất mặt đàn ông
train_chaazczvjs|Nhàn Thị Thanh Vũ đừng ns bí trong người . Bửn ns thẳng ra bày đặt bí :v
train_xtvfrotayj|Con vợ ngu vl
train_gpxumhvkzp|tao lấy con này tha tao lấy chó
train_xehzkthujc|Toàn bọn chó , cắn người dân nghèo
train_cfjewtxyls|Tao đéo hiểu được mẹ của con này là óc chó hay óc người . Tao mà con bả chắc tao đốt nhà bả quá . Mẹ con ngu thứ 1 <URL>
train_aknomzatje|Nó mà kh kiểm soát hoặc kh ghen thì có nghĩa là nó đéo iu mày đấy thằng ngu ạ
train_uoaczzltdq|Đứa nào chửi Khiên lúc đầu bước ra đây . . . đcm . đánh giải nó phải khác cái rank vườn chuối nhà m
train_qdqwwjdhnu|Nguyễn Đức An ơ đmm 🙂 khách hàng là thượng đế mà mày chửi à
train_rlbpanevzd|Thấy tên # concặtnèđức lại hợp lí vl không Phạm Ngọc Đức
train_winwrarmbl|Huỳnh Trung Thông t khánh chứ ai cái dm m ngu z
train_poqzsiukvp|Trang Đoàn ngu vl
train_mpowcrxhgo|Mày hỏi tao bao giờ mà nói láo vậy . . . . chó chết . . .
train_nmhqrqexrs|Mày mang cả nhà mày ra đi bán xổ xố cho tao ba mẹ mày cho mày ngậm ngòi bút hay cho mày ngậm lông lồn mà ngu thế
train_hcagnsyzle|Hành hạ trẻ em còn thua súc vật nữa chứ hay ho j mà dang fb
train_avpreqshlk|đúng là vl tao đá luôn vào mồm thằng đó ngu ko biết đối nhan xử thế ngu nhu chó
train_ygvksrpwkm|Nó del thích m , nên nó giả vờ kb đấy , . M mới ngu hơn chó 🐕 🐕 🐕
train_bpjzrlmljs|Ko đc lên fan cứng biếng cmt vl 😒
train_rqkfkdbrxn|Sơn Hoàng 2 cái đầu trông hài vl . 2 thằng trong phim tấu hài cực mạnh . 2 thằng ngoài đời thì hài hước vl
train_wwkweirhwy|Bố đời mày bỏ 200k ra để ngủ ko khác gì thằng ngu à :)
train_chhqylcurd|Phương Jenda kpai là chấp nhận mà trưởng thành rồi đéo thèm thừa mồm vs những thằng mồm lol
train_rolbpgezoc|Dkm mấy thằng lái công toàn lái thuê óc thì óc lợn
train_jpbcujkmzb|DK Huy Nam Cha mày 😑 . Bệnh hoạn vl
train_rmaolffcgl|Đem về mà xây mả bố mà mẹ mày . đừng lấp liếm cái ngu dốt nữa .
train_idnjayivge|Chơi chó , chơi dị ai chơi thằng lol
train_xcwyfjjfal|Đông nhề đmm đi tù về mà như víp may nó đéo tử hình dkm làm nhục quốc thể người vnam còn oai cái gì hả lũ báo lol
train_azlufvndxw|Ủa m ông cố nội ngta hả mà k cho coi . Trường giang dẫn ct như cứt . Ăn nói vô duyên . Suốt ngày móc méo đá xoáy ng khác . Chã có kiến thức chuyên môn cmg . Bây h còn chả thèm diễn hài mà làm mc luôn mặc dù nc vô duyên vcl ra
train_xwwfrafuhk|Chọc chó cực mạnh là khi người ta nói về mấy thằng viết bài chửi MU , chứ Liv thì có gì mà chọc chó ? : o
train_vloydyaegg|Thái Dương chửi nhau xong tao còn đẻ dc 1 thằng khôn hơn mày đấy
train_vxpdqlymxg|Địt mẹ sao đ chửi thằng post
train_qdtqqhwlnt|Suy nghĩ lại ik bạn nhé . Nếu các anh là huyền thoại thứ 2 thì chẳng ai đam nhận thứ 1 đâu ạ . Haters mà cứ ngu ngu đéo tìm hiểu về kpop à
train_ztqnhztgds|May đã ngu thì mày cũng phải khôn lên chưa mày lom xem con đi đấy là người đàn bà thì cũng phải như nào chưa đàn bà toàn thấy môn chửi dan ong người ta đã biết xai rồi con bất người ta quy xuống gái đĩ còn Da môn mày cua nói Di tao Cho lon con tao det đầy môn mày đấy thằng chó a
train_mwgtdmgtyz|Cc chả lẽ tao lại cho cái chảo vào mồm yêu thằng đểu thì sủa cc j liên quan cc j đến đàn ông bọn tao
train_uabphkrsuy|Con trai đ biết chủ động à , ngu vl
train_qkbpiwjdjv|Câm nín đi hỡi con điên ngu lol .
train_qdobqmwojp|Bí Poppy đấy là nhà mày còn nhà tao kệtao quan tâm cái đéo gì cút
train_giizyzpufz|=) cứ nhất thiết phải phát ngôn cho người khác biết mày ngu à ?
train_fhkshdakaf|Hieu Nguyenvan mức sống GDP bình quân đầu người hơn 2300 usd / năm thế mà đi bì với các nước G7 ! ( GDP mấy chục ngàn đô ) học nhiều quá hoá ngu , hay giả vờ ngu để cùng nhau hút máu dân . Đúng là phát biểu ngu hơn bò !
train_zwazwdbxyq|Loại sống lang bạc khắp nơi , đi tù về đeo kính râm , báo chí thì lũ ngu dốt
train_qlhpodylnr|Trương Dân í tao bảo thằng viết báo ngu
train_grypcqggqm|Toàn những thằng ăn xong ngồi nghĩ bậy làm khổ dân
train_ipevpmnsby|đĩ đĩ đĩ đĩ đĩ đĩ :)
train_ttpzfdrahg|Dm làm bố làm mẹ mà ngu như chó
train_tmhrugcvmv|Ngọc Huy đm đá ngu còn to mồm culi óc chó
train_oxqfcmplop|Óc chó pique nghe nói iq cao lắm mà . Phòng ngự ngu vkl
train_vfjnjhsqld|Đẻ con m cũng đẻ hộ vợ à thằng cù loi :) . Xạo chó xạo chó :)
train_xwqxlzouek|Prince Phùng bảo sao lấy v xấu vl :)
train_tgcjpubniy|Muốn chửi tục qua . tức vl
train_ifgjlhpogv|Dm đùa không về được quán quen cắt tóc , cắt quán linh tinh phát nhìn ngu vãi <URL>
train_crkokmcxcr|Bán vui vui có mấy con ốc mà mấy anh khó khăn quá 🙂 . Admin chắc ghen ăn tức ở , có sai phạm gì thì cmt vô báo cáo để rút kinh nghiệm , đằng này âm thầm tắt cmt , xoá bài . Đm mày admin <URL> Photófrom Huỳnh Tấn Đức ' s post
train_gdncbhplem|Cmm thằng chuyên Nguyễn đập đầu chết cha mày giờ thằng chó .
train_njxxgetqrb|Cho ăn lá ngón Lê Trường Giang <URL> Nguyên . Thằng già âm binh . . . già không lo chết còn chọc chúng chửi . . . lợi cái mả mẹ nhà ông . . . thằng già khốn nạn
train_vyojyfodjb|Douma . . . ăn lol hay j mà ngu vậy ! Uổng cái lol . . . ! ! ! !
train_ccunhaopzf|Vứt cđmm , cái thứ sống chó như m t cầu trời chó nó ưng m
train_ckblwrnhzu|Kim Tuyến trong ngày đại lễ của t mà làm thế . T đánh cho tự đi về là hình phạt nhẹ nhất đối với nó rồi . Còn để t ko cho về giữ lại hành hạ đấy mới là dã man nhé . Ai sai ai đúng ở đây ko cần bàn nữa vì nó là đại lễ của cả 2 . Ngay cả ngày đấy con cô dâu còn dám hành xử như thế mà m còn phải lăn tăn ai sai ai đúng nữa hả . óc chó !
train_dajiuexwwl|Lạ loz thế má ngta còn phải lo bao nhiu chuyện gia đình bố mẹ nữa chứ đéo phải nuôi mình cái mồm mày ? ? ? Ừa m thì giàu rồi hả =)
train_fillftcejl|Gia Kỳ thì t cũng đéo biết nó là ai , nhưng làm màu vcl ý
train_mhyqpdhler|ông nói chuyện xaolon vl
train_rkavgntjcp|Chỉ cần bố m vượt qua được khoảng thời gian này thôi thì địt mẹ m đời ạ . M tuổi lol <URL>
train_kkahfjjoxj|Sao có mấy con ngộ ghê tự nhiên kh phải thùy kh xem mu ủa ngộ nghĩnh nhỉ kh xem thì thôi nói ra chi vậy thể hiện à vl
train_sihszrgukz|Óc chó mày đi ăn cứt bọn tàu khựa đi mày . Nhà mày ngu có gia phả rồi hả mày
train_gmgwxwzrmc|Đm mày phát biểu ngu như lợn
train_wpsdtbqdyr|M ngu vl .
train_uoxwizdfbh|đcm dhuy trtr vl :)
train_cubnxzmjws|Mùng 1 đầu tháng . Sờ Ang Sang <URL> Tôi và Bạn . Loạn xì ngầu . ông đéo biết lắm . - Loanh xì ngầu là ông đéo biết lắp .
train_cjcmvssebq|Trông như nghiện . Kinh vl
train_pdcpejohns|Yến Em đẻ chục trứng vịt lộn ăn cho ngọt nước còn hơn đẻ ra đau l . .
train_fxmhrscbsh|Dm 1 2h sang oy eo cho nguoi khac ngu cle óc chó
train_ofguotdziy|Tất cả 🙂 môn lồn nào cx khó vl
